urlGuia,idNormas,pregunta,respuesta
ahorro-previsional-voluntario-apv,191297;191298;7147,¿Qué es el ahorro previsional voluntario (APV)?,"Un mecanismo de ahorro adicional a las cotizaciones obligatorias para que un trabajador se jubile. Esto le permite al trabajador, dependiente o independiente, aumentar sus fondos y contar con una mejor pensión al momento de su retiro. Es un contrato   voluntario, que trae consigo beneficios tributarios para poder administrar mejor su futuro."
alcaldes-y-alcaldesas,1108229;251693,¿Cómo se eligen los alcaldes y alcaldesas?,Por votación directa cada cuatro años y pueden ser reelectos.
alcohol-venta-y-consumo,220208;29859;1163383;1037847;1007469,¿Quiénes se encargan de vigilar e inspeccionar los locales de venta de alcohol?,"Carabineros de Chile e inspectores municipales y fiscales, dentro de sus competencias."
bono-marzo-permanente,1127552;226081;1060484;1006044;1040157,¿Cuál es el monto del bono marzo?,El bono asciende a $ 45.212 (cifra de 2018) por cada carga o por cada familia. El bono marzo no constituye remuneración o renta para ningún efecto legal. No es imponible ni tributable ni está afecto a descuento alguno.
ascensores,1182084;280149;13560;8201,¿Quién es el responsable de mantener en buen estado los ascensores de un edificio?,"El o los propietarios de un edificio son los responsables de la mantención de los ascensores, funiculares, montacargas y escaleras o rampas mecánicas ubicados en la propiedad. Ellos deberán celebrar los contratos de mantención, reparación y certificación correspondientes. El administrador o quien cumpla esas funciones está facultado para contratar en nombre de la comunidad, la mantención y la certificación. Debe informar al comité de administración, de esta obligación y del momento en que debe hacerlo."
asesorias-previsionales,1158144;7147,¿Qué requisitos deben cumplir los que desempeñen la labor de asesoría previsional como los Asesores Previsionales y Asesores financieros Previsionales?,"Los socios, accionistas, los administradores, los representantes legales de las Entidades de Asesoría Previsional y las Entidades de Asesoría Financiera Previsional y sus dependientes que desempeñen la función de asesoría previsional, así como los Asesores Previsionales y los Asesores Financieros Previsionales, deberán cumplir con los siguientes requisitos: Ser mayor de edad, chileno o extranjero, ambos con residencia en Chile y tener cédula de identidad al día. Tener antecedentes comerciales intachables. Estar en posesión, a lo menos, de licencia de educación media o estudios equivalentes. Acreditar los conocimientos suficientes sobre materias previsionales y de seguros."
asignacion-familiar,4824;1053752;1064512;1176525,¿Qué es la asignación familiar?,"Un subsidio estatal que consiste en una suma de dinero por cada carga familiar que un trabajador dependiente, pensionado o   algunos trabajadores independientes, acredite. Es otorgada por el empleador a los trabajadores a través del Instituto de Previsión Social ( IPS ) o una caja de compensación, según corresponda."
asociaciones-de-consumidores,6992;1032865;1160403;227543;1123020,¿Qué funciones pueden ejercer las asociaciones de consumidores?,"Difundir el conocimiento de las disposiciones de la Ley de Protección al Consumidor y sus regulaciones complementarias. Informar, orientar y educar a los consumidores para el adecuado ejercicio de sus derechos y brindarles asesoría cuando la requieran. Estudiar y proponer medidas encaminadas a la protección de los derechos de los consumidores y efectuar o apoyar   investigaciones en el área del consumo. Representar a sus miembros y ejercer las acciones a que se refiere la Ley del Consumidor en defensa de aquellos consumidores que le otorguen el respectivo mandato. Representar tanto el interés individual, como el interés colectivo y difuso de los consumidores ante las autoridades jurisdiccionales o administrativas, mediante el ejercicio de las acciones y recursos que procedan. Esto incluye la representación individual de los consumidores en causas en que se busque una indemnización de perjuicios. Participar en los procesos de fijación de tarifas de los servicios básicos domiciliarios, conforme a las leyes y reglamentos que los regulen. Ejecutar y celebrar actos y contratos civiles y  mercantiles para cumplir sus objetivos, y destinar los frutos de dichos actos y contratos al financiamiento de sus actividades propias. Realizar, a solicitud de un consumidor, mediaciones individuales. Efectuar, de conformidad a la ley, cualquier otra actividad destinada a proteger, informar y educar a los consumidores."
asociaciones-y-participacion-ciudadana-en-la-gestion-publica,1023143;70040;191865;172986;251693,¿Puede una asociación ciudadana participar en la gestión de las autoridades públicas?,"Sí, de hecho, el Estado reconoce a las personas el derecho de participar en sus políticas, planes, programas y acciones.   Cada órgano de la Administración del Estado debe establecer las modalidades de participación que tendrán las personas y organizaciones en el ámbito de su competencia. Estas modalidades deben mantenerse actualizadas y publicarse a través de medios electrónicos u otras formas de difusión. Además, dichos órganos deben hacer una cuenta pública de sus acciones, planes, políticas, programas y ejecución presupuestaria. También deberán señalar las materias de interés ciudadano en que se requiera conocer la opinión de las personas, mediante una consulta que debe ser informada, pluralista y representativa. Las opiniones que se recojan deben ser evaluadas y   ponderadas por el órgano respectivo. Finalmente, deberán establecer consejos de la sociedad civil , de carácter consultivo, conformados de manera diversa, representativa y pluralista por integrantes de asociaciones sin fines de lucro relacionadas con la materia y competencia del órgano respectivo."
atencion-preferente-en-salud-a-personas-mayores-o-con-discapacidad,229834;1039348;1134300;1166847,¿Quiénes tienen atención preferente en salud?,"Las personas mayores de 60 años y las personas con discapacidad, así como los cuidadores o cuidadoras, tendrán derecho a ser atendidos preferente y oportunamente por cualquier prestador de salud, para facilitar su acceso a las acciones de salud. Este derecho se otorgará sin perjuicio de la priorización que corresponda aplicar según la condición de salud de emergencia o urgencia de los pacientes, de acuerdo al protocolo respectivo. Se entiende por cuidador o cuidadora a toda persona que, de forma gratuita o pagada, proporcione asistencia o cuidado, temporal o permanente, para la realización de actividades de la vida diaria, a personas con discapacidad o dependencia, estén o no unidas por vínculos de parentesco."
atencion-y-reparacion-integral-de-las-victimas-de-femicidio-y-suicidio-femicida,1984;1143040;242648;1021343;1191935,"¿Quiénes son víctimas en casos de femicidio o suicidio femicidia, según la ley?","La ley considera víctima a la mujer asesinada o que se quita la vida en las circunstancias en que legalmente se establece el suicidio femicida. También a la mujer que sobrevive a un ataque femicida o a un suicidio femicida. Se extiende la condición de víctima a las hijas e hijos de la mujer y a otras personas que estaban bajo su cuidado. También son víctimas la madre o el padre de las hijas o hijos de la mujer y quienes tengan el cuidado personal de ellos, además de la pareja de la mujer que tenga con ella una relación de carácter sentimental sin convivencia. Se agregan como víctimas las que considera el Código Procesal Penal. Es decir, cuando la mujer muere por femicidio o suicidio femicida son víctimas: el cónyuge o conviviente civil, sus hijos, los ascendientes (padres, abuelos, bisabuelos…), el conviviente, los hermanos, el hijo o hija adoptado o el que adoptó a la mujer asesinada."
aumento-de-penas-para-delitos-contra-menores-de-18-anos-adultos-mayores-y-personas-con-discapacidad,15824;1103697;1180363,¿Aumenta la pena para los que cometan violación contra menores de 14 años?,"La relación sexual con un menor de 14 años siempre se considera violación. La ley lo define como el acceso carnal por vía vaginal, anal o bucal. En esos casos, la pena era de presidio mayor en cualquiera de sus grados. El cambio legal de 2022 dejó la pena en presidio mayor en sus grados medio a máximo, es decir, excluyó el grado mínimo. De esta manera, la sanción iría de 10 años y un día a 20 años de presidio."
aumento-de-penas-por-infringir-las-medidas-sanitarias-en-pandemia,1146880;1984,¿Qué sanción recibe quien incumple las medidas sanitarias?,"Se sanciona a la persona que pusiera en peligro la salud pública, por infracción de las reglas higiénicas o de salubridad dispuestas por la autoridad en tiempo de catástrofe, epidemia o contagio. La pena es de presidio menor en su grado mínimo a medio (desde 61 días a 3 años) o multa de 6 a 200 unidades tributarias mensuales. Antes del cambio legal, la pena llegaba solo a los 540 días y la multa a un máximo de 20 UTM."
beneficios-para-prisioneros-y-torturados-politicos,233930;1008867;1022794,¿Cuáles son los beneficios para prisioneros y torturados politicos?,Monetarios Médicos Educacionales De vivienda Otros
bingos-solidarios,70040;1078862,¿Los bingos solidarios se consideran juegos de azar?,Estas actividades no serán consideradas juegos de azar de aquellos que define la ley que autoriza el funcionamiento y fiscalización de los casinos de juego.
bloqueo-del-carne-de-identidad,1058131;225523,¿En qué casos se puede  efectuar el bloqueo de los documentos de identidad?,"En caso de extravío, hurto o robo de una cédula de  identidad (carné), de un pasaporte, de un título de viaje o de una licencia de  conducir. Los títulos de viaje son documentos especiales que  se otorgan a los extranjeros para salir del territorio chileno. Se les da a los  ciudadanos de países que no tienen representación consular en Chile o que  tengan cualquier otro impedimento para obtener pasaporte en su país de origen."
bomberos-de-chile,1056025;252583;1036936;1147641;1089343,¿Cómo se agrupan los cuerpos de Bomberos en Chile?,"En cada comuna o agrupación de comunas debe existir solo un cuerpo de Bomberos, que debe estar integrado por compañías y brigadas. Los cuerpos son supervisados por la Junta Nacional de Cuerpos de Bomberos de Chile. Los cuerpos y la Junta Nacional forman el Sistema Nacional de Bomberos, que se considera servicio de utilidad pública."
bonificacion-para-el-cultivo-y-repoblamiento-de-algas,1091690;13315,¿Qué se entiende en la ley por repoblamiento?,"Es el conjunto de acciones que tienen por objeto incrementar o recuperar la población de algas, por medios artificiales o naturales, dentro de un sector geográfico. La ley busca bonificar principalmente el cultivo en áreas que cuenten con un plan de manejo."
bono-a-funcionarios-por-mejor-trato-en-salud,1039348;1075743,¿Cómo se sabe si los funcionarios del respectivo centro de salud obtienen la asignación por mejor trato?,"Los establecimientos de atención primaria de salud municipal, para acceder al beneficio, deberán alcanzar en el instrumento de evaluación un puntaje de, a lo menos, un 65% o su equivalente en la medición del trato a los usuarios. Igual proceso se hace en los dependientes del Ministerio de Salud. Si dos o más establecimientos empatan, se hará un desempate, según la vulnerabilidad de la población a la que atienden, ruralidad de la población  u otras, definidas por reglamento."
bono-bodas-de-oro,225128;1024068;1025469;1043126,¿En qué consiste este bono bodas de oro?,"Es un bono de $313.236 que se entrega a parejas que hayan cumplido 50 años de matrimonio. El monto se entrega por una sola vez y se reparte en partes iguales entre los cónyuges. No es imponible ni tributable, no estará afecto a descuento alguno y se reajustará cada año según la variación del IPC."
bono-extraordinario-de-invierno,226081;1179163;1006044;1040157,¿Cuál es el monto del bono extraordinario de invierno?,"El bono será - en los casos de los números 2, 3 y 4 - de 120 mil pesos por cada una de las personas beneficiarias, aun cuando se encuentren en más de una de las categorías. Será de 120 mil pesos por cada beneficiado del SUF. Lo recibirá la persona beneficiaria a cuyas expensas viva el o la causante, con las mismas excepciones establecidas respecto del Sistema Único de Prestaciones Familiares y del subsidio familiar. En el caso de los beneficiarios del subsidio para las personas con discapacidad mental (número 5), el bono será de 120 mil pesos por cada persona que genere el beneficio, y se pagará por familia usuaria del subsistema “Seguridades y Oportunidades”. En los casos considerados en el número 6 (familias usuarias del subsistema “Seguridades y Oportunidades”) el bono será de 120 mil pesos por cada persona que genere el beneficio y se pagará por hogar del Registro Social de Hogares. Cada persona dará derecho a un solo bono, aun cuando el beneficiario o la beneficiaria respectiva se encuentre en más de una de las categorías."
bono-por-hijo,1064512;269892,¿Quiénes tienen derecho al bono por hijo?,"Las mujeres afiliadas a una AFP (Sistema de Pensiones Decreto Ley N° 3500 , 1980). Las mujeres beneficiarias de la Pensión Básica Solidaria. Las mujeres que sin estar afiliadas a un régimen previsional perciban una pensión de sobrevivencia o viudez de la AFP o del Instituto de Previsión Social (ex INP)."
bono-post-laboral-para-funcionarios-publicos,282824,¿En qué consiste el bono “post laboral”?,"Es un bono mensual de $50.000 (cincuenta mil pesos) que mejora las condiciones de retiro de los trabajadores del sector público que tienen bajas tasas de reemplazo en sus pensiones . El bono se entrega por toda la vida y no es imponible, ni constituye indemnización o renta."
bosque-nativo-fondo-concursable,1006866;274894,"¿Qué actividades bonifica el Fondo de Conservación, Recuperación y Manejo Sustentable del Bosque Nativo?","Actividades de preservación: que favorezcan la regeneración, recuperación o protección de formaciones adaptadas a la aridez de alto valor ecológico o de bosques nativos de preservación. La bonificación alcanzará hasta 5 Unidades Tributarias Mensuales (UTM) por hectárea. Actividades no madereras: para obtener productos no madereros como hongos, frutos silvestres, plantas medicinales, fibras vegetales o servicios de turismo. Dicha bonificación alcanzará hasta 5 UTM por hectárea. Actividades madereras: destinadas a manejar y recuperar bosques nativos con fines de producción maderera. Dicha bonificación alcanzará hasta 10 unidades tributarias mensuales por hectárea."
busqueda-de-personas-desaparecidas,176595;1183543,¿Qué principios orientan el proceso de búsqueda de personas desaparecidas y el funcionamiento del Sistema Informático Interconectado de Búsqueda de Personas Desaparecidas?,"Principio de igualdad ante la ley y de no discriminación arbitraria. No podrá haber ningún tipo de discriminación respecto de la persona desaparecida o el denunciante, tanto en la fase de denuncia como en las diligencias de búsqueda. Principio de la debida diligencia e inmediatez. Los órganos del Sistema deberán llevar a cabo todas las etapas de búsqueda desde la recepción de la denuncia, difusión e investigación hasta el proceso de búsqueda propiamente tal, con la máxima diligencia posible. Principio de colaboración y coordinación. Los órganos del Sistema buscarán mantener la colaboración y coordinación en cada una de las diligencias. Principio del interés superior del niño, niña y adolescente. En cada etapa se deberá velar por el interés superior del niño, niña o adolescente, respetar plenamente sus derechos fundamentales, y dar urgencia a todas las diligencias necesarias para su búsqueda. Asimismo, una vez encontrado con vida, se deberá velar por su seguridad e integridad, buscando evitar futuras vulneraciones a sus derechos. Los niños, niñas o adolescente denunciantes deberán gozar plenamente de sus derechos y garantías. Principio de utilización de tecnologías de la información. Se deberán usar las tecnologías de la información que permitan la celeridad en las diligencias, así como también las plataformas digitales, páginas web institucionales y de redes sociales. Principio de reserva. Todas las actuaciones e información del proceso de búsqueda tendrán el carácter de reservado. Principio de perspectiva de género. Se deberán realizar todas las diligencias necesarias posibles para el más pronto hallazgo de la mujer, niña o adolescente desaparecida, con un deber reforzado de diligencia."
caletas-de-pescadores-artesanales,13315;1012765;1108357,¿Puede asignarse una caleta a sólo una organización de pescadores artesanales?,"Excepcionalmente sí, en caso de que no haya acuerdo entre las organizaciones postulantes. También puede ocurrir por no existir más de una organización interesada, o si, existiendo, no cumplan con los requisitos legales y reglamentarios."
calidad-de-la-construccion,1160403;30839;13560;8201;1103244,¿Quiénes fiscalizan la calidad de una construcción?,"La Dirección de Obras de cada municipalidad es la entidad encargada de la fiscalización de las obras de construcción y urbanización. Ella es la que entrega los permisos de edificación para la ejecución de una obra y luego revisa que la construcción cumpla con la normativa vigente. La norma chilena exige como mínimo la existencia de condiciones que permitan, ante un sismo de gran intensidad, evacuar con seguridad a los moradores. En caso de las edificaciones que requieren de cálculo estructural, deberán ser revisadas por un revisor independiente de cálculo, que se encuentre inscrito en un registro que lleva el MINVU. Una vez finalizada la construcción, la Dirección de Obras chequea que lo edificado corresponda a lo trazado en los planos, pero no se encarga de revisar los materiales de construcción específicos empleados. En el caso de viviendas que cuenten con financiamiento estatal, el MINVU debe disponer de mecanismos que aseguren la calidad de la construcción."
calificacion-de-videojuegos,1063104;1160403;28933;206396;1099919,¿Cuáles son los criterios para la  calificación de los videojuegos?,"Se  establecen las siguientes categorías: Videojuego especialmente recomendado para niños y  adolescentes: por contener material educativo y ningún elemento inapropiado  para su edad. Videojuego sin contenido objetable: que puede ser  visto por personas de cualquier edad. Videojuego no recomendado para menores de 8 años: por  contener un porcentaje menor de lenguaje inapropiado, insinuaciones sexuales o  violencia. Videojuego no recomendado para menores de 14 años:  por contener un porcentaje moderado de lenguaje inapropiado, insinuaciones  sexuales o violencia. Videojuego no recomendado para menores de 18 años:  por contener un porcentaje importante de lenguaje vulgar, material sexual explícito,  desnudez frecuente o importantes niveles de violencia."
cambio-de-multas-por-trabajos-comunitarios,1984;176595;29636;1040829;1040510,¿El sentenciado puede en algún momento pedir el término del trabajo comunitario y pagar lo que le falte de la multa?,"Sí, en cualquier momento el condenado podrá solicitar poner término a la prestación de servicios en beneficio de la comunidad previo pago de la multa que le restaría por cancelar, considerando las horas trabajadas."
cambio-de-nombre-y-apellido,172986,¿En qué consiste el cambio de nombre?,"El nombre de este procedimiento legal es rectificación de la partida de nacimiento y consiste en cambiar nombres, apellidos o ambos."
cambio-del-orden-de-los-apellidos,172986;1159523;229557;126366,¿Qué pasa si alguien que cambió el orden de sus apellidos intenta eludir obligaciones legales usando sus apellidos en el orden original?,"El uso de los apellidos en el orden primitivo para eximirse, impedir, dificultar o eludir el cumplimiento de cualquier obligación, serán sancionados con la pena de presidio menor en su grado mínimo (de 61 días a 540 días). La misma pena arriesga quien use los apellidos en la forma en que han sido rectificados para los mismos fines."
cambio-desde-la-afp-al-antiguo-sistema-de-pensiones,7147;29645,¿Existe la posibilidad de que un afiliado a una Administradora de Fondos de Pensiones (AFP) se cambie al antiguo sistema?,"Sí, pero sólo lo pueden hacer algunas personas que cumplen con algunos requisitos legales."
carreras-ilegales-de-vehiculos-motorizados,1121440;1007469;1182405,¿Qué son las carreras clandestinas de vehículos motorizados?,"Son aquellas que no cuentan con autorización o permiso correspondiente por parte de la autoridad competente, en las que participan vehículos motorizados y se realicen en caminos, calles, ciclovías y demás vías públicas, rurales o urbanas, caminos vecinales o particulares destinados al uso público, de todo el territorio del país."
ciclovias,1007469;1118358,¿Qué es ciclovía?,"Ciclovía  es el espacio destinado al uso exclusivo de bicicletas y otros ciclos. La vía puede estar segregada física o visualmente, según las características y clasificaciones que se definen mediante un reglamento."
cierre-de-calles-y-pasajes,1171704;251693;1022839,¿Para el cierre de calles y pasajes con más de un acceso o salida se añaden requisitos?,"Sí, a los anteriores se agregan los siguientes: El ancho de la calzada debe ser inferior a 7 metros. Podrá implementarse solamente en la entrada y salida de calles y pasajes cuya extensión no sea superior a una cuadra. Las medidas de control o cierre estarán autorizadas a funcionar por un lapso no superior a siete horas continuas, las que se deberán indicar en la solicitud. Excepcionalmente, el municipio podrá autorizar periodos de cierre que no excedan de diez horas continuas, fundado en especiales motivos de seguridad y siempre que no haya afectación relevante del tránsito."
cobro-por-uso-de-estacionamientos,6992;1032865;1160403;1096757;227543,¿Cómo se debe informar al usuario sobre sus derechos y deberes en el uso de los estacionamientos?,La lista de derechos y obligaciones del usuario deben estar visible en el sector de las cajas y en las entradas al estacionamiento. Esa comunicación debe señalar que el consumidor puede ir al Servicio Nacional del Consumidor o al juzgado de policía local competente si hay infracción legal.
colusion-de-empresas,1984;1032865;1094093;1160403,¿Qué se entiende por colusión?,"Es celebrar u ordenar celebrar, ejecutar u organizar, un acuerdo que involucre a dos o más competidores entre sí, para fijar precios de venta o de compra de bienes o servicios en uno o más mercados; limitar su producción o provisión; dividir, asignar o repartir zonas o cuotas de mercado; o afectar el resultado de licitaciones realizadas por empresas públicas, privadas prestadoras de servicios públicos, u órganos públicos."
comercio-ilegal-y-produccion-y-venta-de-articulos-y-libros-falsificados,1984;30594;1179684;28933;1172551,¿Los policías pueden denunciar el comercio ilegal de articulos y libros falsificados que detecten en las fiscalizaciones?,"Sí, lo pueden hacer en caso de que detecten actividades comerciales que no cumplan las exigencias legales relativas a la declaración y pago de los impuestos. También lo pueden hacer respecto del comercio o la industria clandestinos."
comites-paritarios,8336;28650;207436;254080,¿Qué es un Comité Paritario de Higiene y Seguridad?,"El Comité Paritario de Higiene y Seguridad (CPHS) es una unidad técnica de trabajo conjunto entre la empresa y los   trabajadores, que sirve para detectar y evaluar los riesgos de accidentes y enfermedades profesionales que pudieran sufrir los   trabajadores."
como-crear-una-pyme,6368;6369;7042;207588;6374;30357;1974;1022392;188826;258492;261949;7134,¿Cómo opera el sistema antiguo para crear una PYME?,"En el sistema,  que aún se puede utilizar, usted debe decidir si formará la Pyme como persona natural o  como persona jurídica: Como persona individual:  primero debe iniciar actividades económicas ante el Servicio de Impuestos Internos (SII). Este paso es necesario para  desarrollar cualquier negocio que genere rentas. Como  persona jurídica, es decir, como empresa o  sociedad, primero hay que constituir la empresa o sociedad ante notario, y  luego iniciar actividades en el SII. Se debe  redactar una escritura de constitución de sociedad o empresa individual en una  notaría, la que debe contener,   entre  otros: Nombre del  representante o de los representantes. Domicilio Razón social Giro Patrimonio de  la empresa (capital de inicio) Aportes de los  socios o del empresario, Normas sobre  administración, etc. Lo ideal es  constituirse como sociedad de responsabilidad limitada o empresa individual de  responsabilidad limitada, para así no arriesgar el patrimonio personal, sino el  de la empresa o nueva sociedad que se forma."
como-pagar-el-credito-de-las-universidades-estatales,30450;3621;287565;30654;29982,¿Cuándo debo comenzar a pagar el crédito universitario?,"Luego de dos años de haber egresado de una carrera. Si el estudiante no ha egresado y no se ha matriculado dentro del plazo de dos años seguidos en alguna carrera de las universidades del Consejo de Rectores, deberá comenzar a pagar el crédito. Quienes estén cursando un postgrado podrán solicitar postergar la obligación de cancelar el crédito hasta una vez finalizados los estudios, siempre que estos no superen los tres años en caso de magíster y cuatro en el caso de doctorado."
como-votar,1107717;261508;1108229,¿Quiénes pueden votar?,"Todos los chilenos (as) y extranjeros que tengan cumplidos 18 años de edad el día de la votación y que se encuentren inscritos en el padrón electoral. La inscripción es automática por lo que no se requiere que la persona concurra a la oficina del Servicio Electoral. En el caso de los extranjeros, deben llevar viviendo más de cinco años en el territorio nacional. También se incluyen en el padrón los nacionalizados por gracia y los hijos de chilenos que lleven un año viviendo en Chile. El voto en Chile es obligatorio para todas las elecciones y plebiscitos, salvo para las elecciones primarias. La ley define las multas que se aplican."
competencia-de-los-tribunales-militares,18914;30323;6876;1021613;30287,¿Cuál es la jurisdicción de los Tribunales Militares?,"Los Tribunales Militares tienen jurisdicción sobre los chilenos y extranjeros, para juzgar todos los asuntos de la jurisdicción militar que sobrevengan en el territorio nacional, pero también fuera del territorio, en los siguientes casos: Cuando acontezcan dentro de un territorio ocupado militarmente por las armas chilenas. Cuando se trate de delitos cometidos por militares en el ejercicio de sus funciones o en comisiones del servicio. Cuando se trate de delitos contra la soberanía del Estado y su seguridad exterior o interior, contemplados en el Código de Justicia Militar, en otros Códigos y leyes especiales, cometidos exclusivamente por militares, o bien por civiles y militares conjuntamente. Los delitos que procesa son principalmente: Delitos especificados en el Código de Justicia Militar, en especial crímenes de guerra. Infracciones al Código Aeronáutico. Infracciones a las leyes sobre reclutamiento y movilización."
compra-en-verde-de-una-vivienda,13560;220817;236910,¿Se hace una promesa de compraventa cuando se compra en verde una vivienda?,"Sí. La promesa de compraventa debe ser autorizada ante un notario. Además, se debe incorporar la póliza de   seguro o boleta bancaria que garantiza la recuperación del dinero pagado y que el comprador debe aceptar."
compraventa-de-vehiculos,172986;1007469,¿Qué hay que tener en cuenta al comprar o vender un vehículo?,"La transacción siempre debe quedar por escrito. La compra de un vehículo nuevo debe acreditarse a través de la factura, y en caso de ser usado, por un contrato de compraventa. Éste puede ser por escritura pública o por un contrato privado firmado ante notario. Otra opción es hacer una declaración consensual, siempre y cuando le compre el auto a un particular. Al comprar un auto usado debe pedir el Certificado de Inscripción y Anotaciones Vigentes en cualquier oficina del Registro Civil, para ver si el vehículo tiene problemas legales o si puede o no venderse. Este certificado también es una presunción legal del dominio del vehículo, lo cual supone que quien aparece en la inscripción es el dueño del automóvil.             Una vez realizada la compra, debe inscribir el vehículo en el Registro de Vehículos Motorizados en cualquier oficina del Registro Civil."
concejales,1107717;251693,¿Cómo se eligen los concejales?,"Por votación directa mediante un sistema de representación proporcional. Cada Concejo Municipal está compuesto por   entre seis y 10 concejales, dependiendo del tamaño de la comuna. Duran cuatro años en sus cargos y pueden ser reelegidos."
condominios-de-viviendas-sociales,1060306;120134;13560;8201,¿Los condominios de viviendas sociales pueden postular a programas financiados con recursos fiscales?,"Si, lo pueden hacer en las mismas condiciones que las juntas de vecinos, organizaciones comunitarias, organizaciones deportivas y otras de la misma naturaleza."
conduccion-y-consumo-de-alcohol,220208;29859;1037847;1066775;1007469,"¿Qué  diferencia hay entre manejar ""bajo la influencia del alcohol"" y  ""en estado de ebriedad""?","Se define “bajo la influencia del alcohol” cuando el índice de alcohol en la  sangre es superior a 0,3 e inferior a 0,8 gramos por mil. Estado de ebriedad se define cuando el nivel de alcohol en la sangre es igual o  superior a 0,8 gramos por mil."
